name,category,rate,price,time
All Inclusive Private Car Tour of Paris,Private tour,"
      5.0
    ","1,504,629 per group up to 6",6 hours
From Paris: Versailles Palace And Garden Small Group Tour,Guided tour,"
      4.5
    ","74,434 per person",3 hours
Paris: Romantic Italian Dinner Cruise on the Seine,Other experience,0,"82,755 per person",1 day
"Paris: Eiffel Lunch, 2nd Floor or Summit Ticket & Cruise",Water activity,"
      4.1
    ","236,227 per person",4 hours
Monet's Garden Bike Tour from Paris,Day trip,"
      4.9
    ","164,005 per person",8.5 hours
Paris: 45-minute Chocolate Making Workshop at Choco-Story,Workshop or class,"
      4.2
    ","60,185 per person",2 hours
Paris: Grèvin Wax Museum and Seine River Cruise Tickets,Bundle,"
      4.4
    ","45,289 per person",1 day
"Paris: Macarons Class, Teatime and To-Go Box",Workshop or class,"
      4.9
    ","194,097 per person",3 hours
Paris: La Nouvelle Eve Cabaret Dinner Show,Entry ticket,"
      4.6
    ","239,236 per person",3 hours
Paris: Seine Cruise and Eiffel Tower Carousel Tickets,Bundle,"
      4.4
    ","25,172 per person",
Paris: City and River Seine Tour on an Amphibious Bus,Water activity,"
      4.7
    ","58,681 per person",105 minutes
Paris Flea Market Insider's Tour,Guided tour,"
      5.0
    ","75,156 per person",1.5 hours
Paris: A Chef's Food Tour of Montmartre with 4-Course Feast,Guided tour,"
      5.0
    ","188,079 per person",4.5 hours
Eiffel Tower Climbing Experience with Summit or 2nd Access,Guided tour,0,"47,922 per person",1.5 hours
Paris 4-Hour Bike Tour: Off the Beaten Path,Guided tour,"
      4.8
    ","67,708 per person",4 hours
Paris: 2.5-Hour Group Segway Tour,Guided tour,"
      4.9
    ","105,324 per person",2.5 hours
Best of Paris Bike Tour,Guided tour,"
      4.8
    ","67,708 per person",4 hours
Small-Group Canadian Normandy D-Day Juno Beach from Paris,Day trip,"
      4.9
    ","331,018 per person",13 hours
Paris: Dinner at Ginger Restaurant & Show at Crazy Horse,Entry ticket,"
      4.5
    ","300,926 per person",1.5 hours
Paris: Disneyland Paris 1-Day Flexible Ticket,Entry ticket,"
      4.5
    ","157,986 per person",365 days
Small-Group Giverny and Van Gogh's Room in Auvers from Paris,Day trip,"
      5.0
    ","284,375 per person",10 hours
Le Marais: Pastry and Chocolate Food Tour,Guided tour,"
      4.5
    ","164,005 per person",3 hours
Paris Catacombs: VIP Skip-the-Line Restricted Access Tour,Guided tour,"
      4.9
    ","180,405 per person",2 hours
Paris: Eiffel Tower Tickets and City Bus Tour,Bundle,"
      3.9
    ","118,866 per person",1 day
Paris: Half-Day Electric Bike Tour,Guided tour,"
      4.8
    ","87,268 per person",3 hours
Paris: Family-Friendly River Seine Guided Cruise,Water activity,"
      4.2
    ","30,093 per person",1 hour
Paris: Fashion Show at Galeries Lafayette Haussmann,Entry ticket,"
      4.2
    ","27,083 per person",30 minutes
From Le Havre or Honfleur: Private Shore Excursion to Paris,Day trip,0,"978,009 per group up to 4",10 hours
Paris: Musée d'Orsay Guided Tour with Ticket,Guided tour,"
      4.9
    ","189,794 per person",2.5 hours
Skip the Line Versailles Tour from Paris via Train,Guided tour,"
      4.7
    ","112,847 per person",4.5 hours
Paris: Private Day Trip to Champagne with 8 Tastings & Lunch,Private tour,"
      4.9
    ","2,303,873 per group up to 1",11 hours
Paris: 2-Hour Private Musée d'Orsay Guided Tour,Private tour,"
      4.4
    ","315,220 per person",2 hours
Paris: Openair Double Decker Bus Audio-Guided City Tour,Other experience,"
      3.7
    ","58,681 per person",1.5 hours
Paris: Guided Segway Tour,Private tour,"
      4.8
    ","75,231 per person",45 minutes
From Paris: Bike Tour to Versailles with Timed Palace Entry,Day trip,"
      4.5
    ","164,005 per person",8 hours
Paris: Bastille Day Seine River Dinner Cruise & Fireworks,Entry ticket with host,0,"374,653 per person",225 minutes
Louvre Museum: Mona Lisa Without the Crowds Last Entry Tour,Guided tour,"
      4.7
    ","126,389 per person",3 hours
Paris: Versailles Palace Self Guided Tour & Gardens Ticket,Entry ticket,"
      4.4
    ","127,893 per person",4 hours
Paris: Full-Day Cooking Class with 3-Course Lunch,Workshop or class,"
      4.9
    ","284,375 per person",5 hours
Paris Gourmet Tour,Guided tour,"
      4.8
    ","164,005 per person",3 hours
From Paris: Chateau de Fontainebleau & Vaux-Le-Vicomte Tour,Day trip,"
      4.7
    ","284,375 per person",10 hours
Paris: Chocolate and Pastry Tour with Tastings,Guided tour,"
      4.5
    ","112,784 per person",2.5 hours
Paris: Happy Hour Evening Cruise on the Seine River,Water activity,"
      4.1
    ","24,074 per person",1.5 hours
Pierrefonds: Château de Pierrefonds Entrance Ticket,Entry ticket,"
      4.4
    ","12,037 per person",1 day
Paris: Best of the Louvre Museum Guided Tour with Mona Lisa,Guided tour,"
      5.0
    ","135,417 per person",2 hours
Paris Catacombs Skip-the-Line Guided Tour and Special Access,Guided tour,"
      4.8
    ","148,958 per person",1.5 hours
Paris: Versailles Golf Cart & Bike Tour with Palace Entry,Day trip,"
      5.0
    ","254,282 per person",7 hours
The Louvre: Small Group Tour with Skip-the-Line Access,Guided tour,"
      4.6
    ","123,380 per person",3 hours
Versailles: Private Guided Tour of the Palace,Private tour,"
      4.1
    ","360,359 per person",2 hours
Paris: Fly Over Paris and the World in Virtual Reality,Entry ticket,"
      4.3
    ","36,863 per person",35 minutes
From Paris: Versailles Full-Day Trip by Train,Day trip,"
      4.7
    ","207,338 per person",9 hours
Paris: Night Bus Tour with Audioguide,Other experience,"
      4.3
    ","42,205 per person",1.5 hours
Paris Catacombs: Skip-the-Line Special Access Tour,Guided tour,"
      4.8
    ","153,472 per person",2 hours
From Paris: Giverny and Monet's Home Day Trip,Other experience,"
      4.7
    ","165,509 per person",4.5 hours
From Paris: Roundtrip Shuttle to Versailles,Transfer,"
      4.2
    ","52,662 per person",4 - 8 hours
Afternoon in the Petit Trianon & Estate of Marie Antoinette,Guided tour,"
      4.7
    ","75,081 per person",2.5 hours
Paris: Luxembourg Garden Self-Guided Audio Tour,Other experience,0,"12,478 per person",1 hour
Paris: Dinner Cruise on the Seine River at 6:15 PM,Water activity,"
      4.6
    ","133,912 per person",75 minutes
Paris: Latin Quarter Pub Crawl Tour,Guided tour,"
      4.3
    ","37,616 per person",4 hours
From Paris: Prestige Champagne Tour and Tastings,Private tour,"
      4.8
    ","2,139,612 per group up to 1",1 day
Paris: Professional Photoshoot Outside the Louvre Museum,Private tour,"
      4.7
    ","82,755 per group up to 1",30 - 45 minutes
Paris: Daytime or Sunset Eiffel Tower Tour,Guided tour,"
      3.8
    ","72,222 per person",2 hours
Paris: Musée d’Orsay Skip-The-Line Guided Tour,Private tour,"
      5.0
    ","300,926 per person",2 hours
Paris: Paradis Latin Cabaret Show for Those Aged 26 & Under,Entry ticket,"
      4.7
    ","75,231 per person",1.5 hours
Paris: Paradis Latin's Mon Premier Cabaret Show Ticket,Entry ticket,"
      4.7
    ","75,231 per person",2 hours
Paris: Private 1-Hour Sightseeing Segway Tour,Private tour,"
      5.0
    ","84,259 per person",1 hour
Last Entry: Versailles Tour After the Crowds,Guided tour,"
      4.5
    ","189,583 per person",4.5 hours
Versailles: Skip-the-Line Entrance and Lunch at Ore,Entry ticket,"
      4.2
    ","130,903 per person",1 day
Paris: Cheese and Wine Tasting,Workshop or class,"
      5.0
    ","105,324 per person",1.5 hours
Paris: Louvre Must-See Tour with Reserved Entry Ticket,Guided tour,"
      4.9
    ","189,794 per person",2.5 hours
Paris: Disneyland Paris Ticket with Transfer from Paris,Entry ticket,"
      4.1
    ","216,667 per person",12 hours
Paris: Unofficial Emily in Paris Show Locations Walking Tour,Guided tour,"
      4.5
    ","54,167 per person",100 minutes
Paris: Oh My God She's Parisian! English Comedy Show,Entry ticket,"
      4.7
    ","42,130 per person",65 minutes
Château de Versailles: The Musical Gardens,Entry ticket,"
      4.3
    ","15,046 per person",1 day
Family Experience: Montmartre Tour,Guided tour,"
      4.7
    ","93,287 per person",2 hours
Paris: Private Transfer to/from Orly Airport,Transfer,"
      4.8
    ","114,322 per group up to 4",35 minutes
Paris: Street Art Smartphone Audio-Guided Tour,Other experience,"
      4.5
    ","13,527 per person",1 hour
Versailles: Royal Palace & Gardens Private Golf Cart Tour,Guided tour,"
      5.0
    ","406,250 per person",3 hours
Paris: Early Evening Dinner Cruise on the River Seine,Water activity,"
      4.1
    ","127,893 per person",69 - 75 minutes
Versailles: Private Half-Day Guided Tour from Paris,Private tour,"
      4.9
    ","1,805,555 per group up to 8",4 hours
Paris: Hidden Gems of Montmartre with Local Guide,Guided tour,"
      4.8
    ","58,681 per person",2 - 3 hours
Paris: Eiffel Tower Summit Access & Cruise by Night,Bundle,"
      4.2
    ","165,359 per person",4 hours
Paris: Pantheon Entry Ticket and Seine River Cruise,Other experience,"
      4.3
    ","44,988 per person",1 day
Paris: UNESCO Headquarters Tour,Guided tour,"
      4.8
    ","22,569 per person",1.5 hours
From Paris: Versailles & Louvre Guided Tour,Day trip,"
      4.8
    ","364,120 per person",8 hours
Paris: Giverny & Versailles Small Group or Private Tour,Day trip,"
      4.3
    ","449,884 per person",9 hours
Paris: Centre Pompidou Ticket and Seine River Cruise,Bundle,"
      4.5
    ","46,643 per person",1 day
Paris: Walking Tour of Montmartre,Guided tour,"
      4.7
    ","45,139 per person",2 hours
The Best of Paris Original Food Tour,Guided tour,"
      4.8
    ","258,796 per person",2.5 hours
Paris: Covered Passages Walking Tour,Guided tour,"
      4.6
    ","54,167 per person",1.5 hours
Cooking Class with a Parisian Chef,Workshop or class,"
      5.0
    ","194,097 per person",3 hours
Left Bank Delicacies - Saint Germain des Prés,Guided tour,"
      4.3
    ","142,940 per person",3 hours
From Le Havre: Shopping and Dining Shore Excursion to Paris,Day trip,"
      4.3
    ","201,996 per person",10 - 11 hours
Paris: Cheesemaking Workshop,Workshop or class,"
      4.9
    ","105,324 per person",2 hours
Paris: Caves du Louvre French Wine Experience,Other experience,0,"54,167 per person",1 day
Paris: Louvre Museum Skip-The-Line Tour,Private tour,"
      4.7
    ","376,157 per person",2 hours
Paris: Entry Ticket to Bourse de Commerce Pinault Collection,Entry ticket,"
      4.8
    ","21,065 per person",30 minutes
Visit of Epernay & Multiple Champagne Tastings in a Vineyard,Day trip,"
      5.0
    ","600,347 per person",10 hours
From Paris: 2-Day Normandy & Brittany Tour,Multi-day trip,"
      4.4
    ","677,083 per person",2 days
Paris: Unlimited 4G Internet & Pocket WiFi in France & EU,Other experience,"
      4.8
    ","52,662 per group up to 1",1 - 14 days
Paris: Food Market Tour in Bastille,Guided tour,0,"148,958 per person",3.5 hours
Paris: 1-Hour Vintage Citroen 2CV Tour,Private tour,"
      4.6
    ","82,755 per person",1 hour
Vintage 2CV tour + Cruise,Bundle,"
      4.4
    ","128,646 per person",2 hours
Paris: Private 1.5-Hour Sightseeing Segway Tour,Private tour,"
      4.9
    ","97,801 per person",1.5 hours
Paris: Covered Passages Audio-Guided Walking Tour,Other experience,"
      4.5
    ","13,527 per person",1 hour
Paris: Stories of Père Lachaise Cemetery Walking Tour,Guided tour,"
      4.8
    ","54,167 per person",1.5 hours
Paris: Eiffel Tower Dinner Cruise with a Moulin Rouge Show,Bundle,"
      4.2
    ","413,773 per person",7 - 8 hours
Paris: French Fashion History Walking Tour,Guided tour,"
      4.9
    ","391,204 per group up to 6",1.5 hours
Paris: Electric Bike Tour,Guided tour,"
      5.0
    ","81,250 per person",3 hours
Highlights of Paris: Private 6-Hour Vintage 2CV Tour,Private tour,"
      4.7
    ","375,405 per person",6 hours
Orsay Museum with Private Guide,Private tour,"
      5.0
    ","765,856 per group up to 6",2 hours
Paris: Montmartre Walking Tour,Guided tour,"
      4.7
    ","54,167 per person",1.5 hours
"Paris: Full-Day Cooking Class, Market Tour and Lunch",Day trip,"
      4.9
    ","329,514 per person",6 hours
Paris: Discover Paris by Night in a Vintage Car with a Local,Private tour,"
      4.6
    ","89,525 per person",1 - 2 hours
Paris: Walking Tour with Louvre Ticket & Private Tour Option,Guided tour,"
      4.4
    ","61,690 per person",3 - 4 hours
Paris: Louvre Museum Skip-the-Line Entry & Private Tour,Private tour,0,"380,671 per person",3 hours
Paris Immersive Audio-Guided Coach Tour & Seine River Cruise,Bundle,"
      3.7
    ","58,681 per person",3 hours
Paris: City Highlights Segway Tour,Guided tour,"
      4.7
    ","120,370 per person",2 hours
Paris: Sunrise Run & Sightseeing Small Group Tour,Guided tour,"
      5.0
    ","65,075 per person",2 hours
From Paris: Versailles Guided Tour with Priority Access,Day trip,"
      4.5
    ","148,958 per person",6 hours
Paris: 2-Hour Street Art Tour,Guided tour,"
      4.8
    ","90,278 per person",2 hours
Versailles Palace & Gardens Tour with Gourmet Lunch,Day trip,"
      4.7
    ","288,738 per person",6 hours
Paris: Guided Tour of the Louvre Museum and Mona Lisa,Guided tour,"
      5.0
    ","103,398 per person",3 hours
"Notre-Dame Exterior, Île de la Cité, St. Severin Church Tour",Guided tour,"
      4.4
    ","37,616 per person",1.5 hours
Paris: The Rodin Museum and Seine River Cruise,Day trip,"
      4.6
    ","46,493 per person",1 day
Paris: All-Inclusive Pass to over 35 Attractions,City card,"
      3.6
    ","135,417 per person",2 - 3 days
Paris: Sightseeing Bastille Day Cruise,Water activity,"
      4.1
    ","105,324 per person",2.5 hours
Paris: Guided City Tour by Electric Bike,Guided tour,"
      5.0
    ","112,847 per person",2 hours
Montmartre like a Local: Paris Food Tour,Guided tour,"
      5.0
    ","148,958 per person",3.5 hours
Paris: Centre Pompidou Skip-the-Line Guided Museum Tour,Guided tour,"
      5.0
    ","189,794 per person",2.5 hours
Paris: Secret Food of Le Marais Walking and Tasting Tour,Guided tour,"
      4.0
    ","152,528 per person",3 hours
Versailles: Skip-the-Line Day Tour & Transfer from Paris,Private tour,"
      4.4
    ","3,159,721 per group up to 8",8 hours
Paris Bakery Tour,Workshop or class,"
      4.3
    ","70,718 per person",1 hour
Paris: O Chateau's Wine Tasting Dinner,Guided tour,"
      4.2
    ","164,005 per person",1.5 hours
Paris: Pastry Class with Ferrandi Chef at Galeries Lafayette,Workshop or class,"
      5.0
    ","195,602 per person",2 hours
Paris: Louvre/Eiffel Tower & Seine Cruise Timed Entry Ticket,Day trip,"
      5.0
    ","137,809 per person",8.5 hours
From Paris: Full-Day Champagne Tour,Day trip,"
      4.1
    ","361,111 per person",11 hours
Paris: 1-Hour Sightseeing Cruise and Bistro Lunch,Water activity,"
      4.5
    ","81,476 per person",2.5 hours
Army Museum: Invalides and Napoleon's Tomb Guided Tour,Guided tour,"
      4.9
    ","165,359 per person",2.5 hours
Vaux le Vicomte castle Entry Ticket & Chateau Bus Transfer,Entry ticket,"
      4.5
    ","43,634 per person",5 hours
Paris: Choux Pastry and Chocolate Éclair Making Class,Workshop or class,"
      4.9
    ","194,097 per person",3 hours
Paris: Emily in Paris Filming Locations Guided Walking Tour,Guided tour,"
      4.7
    ","112,847 per person",2 hours
"Paris: Eiffel Tower 2nd Floor Ticket, Louvre Museum & Cruise",Entry ticket with host,"
      3.0
    ","165,359 per person",5 hours
From Paris: Private Normandy D-Day Beaches Tour,Private tour,"
      5.0
    ","2,166,666 per group up to 2",12 hours
Paris: Hands-On Small Group Cooking Class,Workshop or class,"
      5.0
    ","218,171 per person",3.5 hours
Paris: Highlights Self-Guided Scavenger Hunt and Audio Tour,Other experience,"
      4.3
    ","6,019 per person",365 days
Paris: Pompidou Centre Private Guided Tour,Private tour,"
      4.9
    ","338,541 per person",2 hours
Paris: Secret Montmartre Smartphone Audio Walking Tour,Other experience,"
      4.5
    ","13,527 per person",1 hour
Paris: Seine River Champagne Dinner Cruise with Live Music,Other experience,"
      3.3
    ","157,986 per person",1.5 - 2 hours
Paris: Wine Tasting at the Eiffel Tower with Local Producer,Guided tour,"
      5.0
    ","90,278 per person",1.5 hours
Versailles Trip from Paris in Citroen 2CV,Private tour,"
      4.4
    ","255,035 per person",4 hours
Paris: Gourmet Food Tasting Tour of Medieval Marais,Guided tour,"
      4.6
    ","131,204 per person",3 hours
Notre Dame: Private Guided Visit,Private tour,"
      4.9
    ","225,694 per person",1.5 hours
Paris: Small-Group Catacombs Tour with Skip-the-Line Entry,Guided tour,"
      4.9
    ","179,051 per person",1.5 hours
Paris: Army Museum Ticket and Seine River Cruise Combo,Bundle,"
      4.3
    ","48,073 per person",1 day
Paris: 3-Hour Private Segway Tour,Private tour,"
      4.8
    ","142,940 per person",3 hours
Orly Airport Shared Shuttle Transfer Service,Transfer,"
      3.8
    ","57,198 per person",1 - 1.5 hours
From Paris: Small-Group Loire Valley Castles Full-Day Tour,Day trip,"
      4.8
    ","353,588 per person",12 hours
Paris: Wine Tasting with Professional Sommelier,Other experience,"
      3.8
    ","45,139 per person",45 minutes
Paris: Ile de la Cite Walking Tour with Notre Dame,Bundle,"
      4.8
    ","90,127 per person",165 minutes
Paris: Montmartre Quintessential Guided Walking Tour,Guided tour,"
      5.0
    ","52,662 per person",1.5 hours
Paris: Highlights Tour from Notre Dame to the Eiffel Tower,Guided tour,"
      4.8
    ","74,178 per person",4 hours
Murders and Mysteries of the Louvre Museum,Guided tour,"
      4.3
    ","157,986 per person",2 hours
Paris: Private Guided City Tour in a Citroën Traction Avant,Private tour,0,"214,951 per group up to 4",1 - 3 hours
Paris: Eiffel Tower Virtual Reality Guided Tour in 1889,Guided tour,"
      5.0
    ","43,634 per person",75 minutes
Paris Jewish History 2-Hour Private Guided Walking Tour,Private tour,"
      4.9
    ","225,694 per person",2 hours
From Paris: Loire Valley Castles Full-Day Tour with Lunch,Day trip,"
      4.6
    ","443,866 per person",12 hours
Disneyland® Paris Express Tickets for Train and Parks,Entry ticket,"
      4.3
    ","209,143 per person",1 day
Paris: Montmartre Street Art Tour with an Artist,Guided tour,"
      4.9
    ","60,185 per person",135 minutes
Paris Marais Quarter 2-Hour Private Walking Tour,Private tour,"
      4.8
    ","225,694 per person",2 hours
"Paris: Guided Tour, Cruise and Sainte Chapelle Entry",Bundle,"
      4.8
    ","106,829 per person",3 hours
Paris: Eiffel Tower Guided Tour with Summit,Guided tour,"
      5.0
    ","165,359 per person",1.5 hours
Paris: Rive Gauche Bus Toqué Lunch with a Glass of Champagne,Guided tour,"
      4.8
    ","120,370 per person",1.5 hours
From Paris: Small-Group Mont St Michel Tour & Cider Tasting,Day trip,"
      4.6
    ","331,018 per person",14 hours
Paris: Pure Chocolate Walking Tour,Guided tour,"
      4.7
    ","120,370 per person",2 hours
Paris: Jewish Quarter & Museum of the Art and History Tour,Private tour,0,"264,815 per person",2 - 5.5 hours
Paris: Dark City Secrets Walking Tour,Guided tour,"
      4.7
    ","45,139 per person",2 hours
From Paris: D-Day Normandy Beaches Guided Day Tour,Day trip,0,"239,236 per person",13 hours
Paris: Outdoor Walking Escape Game,Private tour,"
      4.9
    ","45,139 per person",2 hours
Discover the Heart of Paris by Bike,Guided tour,"
      4.6
    ","63,194 per person",3 hours
Private tour Paris little known in Citroën 2CV,Private tour,"
      5.0
    ","166,261 per person",1.5 hours
From Paris: Mont St Michel and Loire Valley 2 Day Tour,Multi-day trip,"
      4.3
    ","677,083 per person",2 days
Montmartre & Sacré Coeur: 2.5-Hour Walking Tour,Private tour,"
      4.9
    ","151,516 per person",2.5 hours
Private tour of Paris by Night with Champagne,Private tour,"
      4.7
    ","157,234 per person",2 hours
Paris: Musée du Quai Branly Ticket & Seine River Cruise,Bundle,"
      5.0
    ","43,634 per person",1 day
Paris: Lunch Cruise and Sightseeing Bus Tour from London,Day trip,"
      4.6
    ","533,847 per person",15.5 hours
Paris By Night: 3-Hour Guided Bike Tour,Guided tour,"
      4.6
    ","64,699 per person",3 hours
"Paris: Guided tour of Le Marais, Paris's Gay Neighborhood",Guided tour,0,"132,407 per person",2.5 hours
Exclusive Wine Day Trip Loire Valley from Paris,Day trip,"
      5.0
    ","600,347 per person",11 hours
Small Group Guided Louvre Highlights Tour,Guided tour,"
      4.8
    ","142,789 per person",1.5 - 3 hours
Paris: Père Lachaise Cemetery Walking Tour,Private tour,"
      4.8
    ","151,516 per person",2.5 hours
Paris: Hop-On Hop-Off Bus Tour with Self-Guided Walking Tour,Hop-on hop-off tour,"
      4.5
    ","74,464 per person",1 - 2 days
"Paris: Eiffel Tower, Versailles & Seine River Combo Tour",Bundle,"
      3.2
    ","165,509 per person",1 day
Paris: Fly Over France Virtual Reality Experience,Entry ticket,"
      4.6
    ","42,325 per person",35 minutes
Paris: Discovery Hop-On Hop-Off and Paris by Night Tour,Hop-on hop-off tour,"
      4.1
    ","83,131 per person",1 - 3 days
Paris: Professional Photoshoot at The Eiffel Tower,Private tour,"
      5.0
    ","43,332 per group up to 2",15 minutes
From Paris: Normandy Landing Beaches D-Day Tour by Minibus,Day trip,"
      4.7
    ","389,699 per person",12 hours
Paris: Invalides Dome - Skip-the-Line Guided Museum Tour,Guided tour,"
      5.0
    ","189,794 per person",2 hours
From Paris: Versailles Full-Day Guided Tour with Lunch,Day trip,"
      4.8
    ","418,287 per person",7 hours
Paris: Graffiti on Canvas Workshop at an Art Studio,Workshop or class,"
      5.0
    ","60,185 per person",2 hours
Les Marais: French Tastes and Drinks Private Foodie Tour,Private tour,"
      4.7
    ","246,759 per person",3 hours
Marne River Loop Day Cruise with Lunch on Board,Day trip,"
      4.7
    ","135,417 per person",6 hours
Paris: Guided Food Tour,Guided tour,"
      4.7
    ","142,940 per person",3.5 hours
Vintage Paris & St Ouen Flea Market Walking Tour,Guided tour,"
      4.1
    ","142,940 per person",3 hours
Paris: Marais District Scavenger Hunt and Self-Guided Tour,Other experience,"
      4.7
    ","13,905 per person",2 hours
Paris: Pastry and Chocolate Tasting Walking Tour,Guided tour,"
      5.0
    ","118,866 per person",2.5 hours
Burgundy: Winery Tour,Day trip,"
      4.8
    ","353,588 per person",12 hours
Paris: Louvre Skip-the-Line Entry & Small-Group Guided Tour,Guided tour,0,"179,051 per person",2.5 hours
Paris 2-Hour Writers and Painters Guided Walking Tour,Guided tour,"
      3.7
    ","109,838 per person",2 hours
"Paris Premium & Private, Highlights city tour on Sidecar",Private tour,"
      5.0
    ","255,742 per group up to 2",1 hour
Paris: Open-Top Christmas Bus Tour,Other experience,"
      3.9
    ","52,662 per person",1.5 hours
Paris: Marais District Smartphone Audio-Guided Tour,Guided tour,"
      4.1
    ","13,527 per person",1 hour
Paris: Eiffel Tower Summit Access Tour and River Cruise,Bundle,"
      3.6
    ","165,509 per person",2 hours
"Classic, Romantic Paris: 3-Hour Vintage 2CV Tour",Private tour,"
      4.6
    ","187,326 per person",3 hours
Paris: Private Guided City Tour in a Vintage Citroën DS 21,Private tour,"
      5.0
    ","214,951 per group up to 4",1 - 3 hours
Paris: Banksy Museum Ticket and Street Art Mobile Audio Tour,Other experience,"
      5.0
    ","32,485 per person",1 day
The Gourmet Gastronomy of Paris: 2.5-Hour Food Tour,Guided tour,"
      5.0
    ","153,472 per person",2.5 hours
Medieval Paris Private Walking Tour,Private tour,"
      4.9
    ","225,694 per person",2 hours
Paris: French Revolution Walking Tour,Guided tour,"
      3.0
    ","58,681 per person",2 hours
Paris: Romantic Limousine Tour,Private tour,"
      5.0
    ","737,268 per group up to 2",1 hour
Paris: Père Lachaise Cemetery Private Tour,Private tour,"
      5.0
    ","388,194 per group up to 1",2 hours
Discover Secret Passages in Paris,Guided tour,"
      5.0
    ","148,958 per person",3 hours
Paris Chocolate Tour and Tastings,Guided tour,"
      3.5
    ","112,847 per person",2 hours
Paris: Gourmet Food Tour with 10+ Tastings and Wine,Guided tour,0,"142,187 per person",2.5 hours
"Versailles: Gardens Golf Cart Tour, Row Boat, Palace Tickets",Water activity,"
      5.0
    ","254,282 per person",7 hours
Paris: City Exploration Foxtrail Game in Saint Germain,Other experience,"
      5.0
    ","43,634 per person",2 hours
Paris: Street Art Open-Air Museum Bike Tour,Guided tour,"
      4.8
    ","69,213 per person",3.5 hours
Paris: The Ultimate Wine and Cheese Tasting,Other experience,"
      5.0
    ","164,005 per person",2 hours
Paris: Virtual-Reality Escape Room Adventure,Private tour,"
      4.9
    ","45,139 per person",1 hour
Paris: Dinner with Customized Wine Selection,Guided tour,"
      4.8
    ","118,866 per person",2 hours
Paris by Night - Tuk tuk Ride,Private tour,"
      4.5
    ","173,032 per group up to 2",1 - 2 hours
Paris: Guided Private E-bike Sightseeing Tour,Private tour,"
      4.0
    ","127,893 per person",2.5 hours
Versailles: Path of the Heroes E-Bike Tour,Day trip,"
      5.0
    ","203,125 per person",1 day
From Paris: Giverny and Versailles Private Full-Day Trip,Private tour,"
      5.0
    ","1,503,124 per person",9 hours
Paris: Private Transfer from CDG Airport to Paris,Transfer,"
      5.0
    ","284,375 per group up to 6",40 minutes
Paris: Romantic Montmartre Exploration Game,Other experience,"
      4.4
    ","15,031 per person",1.5 hours
Paris: Nighttime Segway Tour,Private tour,"
      5.0
    ","142,940 per person",2 hours
Paris: Sainte-Chapelle & Conciergerie Entry Ticket & Cruise,Entry ticket,"
      1.0
    ","55,521 per person",3 hours
Montmartre: Self-Guided Audio Tour,Other experience,"
      5.0
    ","12,478 per person",1 hour
Dessert & Chocolate Cooking Class with a Parisian Chef,Workshop or class,"
      5.0
    ","194,097 per person",3 hours
"From Paris: Private Champagne Tour, Tastings at Moet&Chandon",Private tour,0,"2,384,837 per group up to 1",10 hours
French Lesson at Cafe de Flore and Paris Guided Tour,Workshop or class,"
      3.9
    ","90,278 per person",1.5 hours
1.5-Hour Paris Segway Night Tour,Private tour,"
      4.9
    ","135,417 per person",1.5 hours
Versailles: Harry Potter Outdoor Escape Game,Other experience,"
      3.5
    ","103,819 per group up to 6",3 hours
Paris Vintage Sidecar Premium & Private Half-Day Tour,Private tour,"
      5.0
    ","511,935 per group up to 2",2 hours
Paris: Full-Day Custom Tour with Local Guide,Private tour,"
      5.0
    ","451,389 per person",8 hours
Paris: VIP Paris Hotel Transfer to and from Orly Airport,Transfer,"
      4.1
    ","139,720 per group up to 3",1 hour
Montmartre 3-Hour Local Gastronomy Tour with Tastings,Guided tour,"
      4.0
    ","164,005 per person",3 hours
Paris: Private Transfer from or to Beauvais Airport,Transfer,"
      4.6
    ","258,721 per group up to 3",70 minutes
Paris: 1.5-Hour Segway Tour with River Cruise Ticket,Bundle,"
      4.7
    ","127,893 per person",1.5 hours
Paris: Le Marais Walking Tour,Guided tour,"
      5.0
    ","54,167 per person",1.5 hours
Paris: Premium Private Transfer from/to Orly,Transfer,"
      4.8
    ","120,340 per group up to 3",30 minutes
Paris: Private Food Tour in Montmartre,Private tour,"
      5.0
    ","240,741 per person",3 hours
Paris: Private Food Tour in Le Marais,Private tour,0,"278,356 per person",3 hours
Paris: 2.5–Hour Montmartre Wine and Bistro Tour,Guided tour,"
      4.6
    ","180,555 per person",2.5 hours
Paris: Art Nouveau Private Walking Tour,Private tour,"
      4.6
    ","225,694 per person",2 hours
From Disneyland Paris: Paris Day Trip and Sightseeing Cruise,Day trip,"
      4.2
    ","112,847 per person",9 hours
"Eiffel Tower Summit, Walking Tour & Seine Champagne Cruise",Bundle,"
      4.2
    ","114,352 per person",135 minutes
Paris: 1.5-Hour Guided Walking Tour of Montparnasse,Guided tour,"
      4.3
    ","54,167 per person",1.5 hours
Orangerie Museum Guided Tour with Monet's Water Lilies,Guided tour,"
      5.0
    ","189,794 per person",2 hours
Musee d'Orsay: Semi-Private Skip-the-Line Tour,Guided tour,"
      4.7
    ","165,359 per person",2 hours
Paris: Amphibious Mini Bus and Canal St-Martin Tunnel Cruise,Water activity,"
      4.6
    ","133,912 per person",2 hours
Paris: Champs-Élysées Guided Tour and Arc de Triomphe Ticket,Guided tour,"
      5.0
    ","61,690 per person",3 hours
Paris: Romantic Evening Cruise & Montmartre Self-Guided Tour,Bundle,"
      3.9
    ","39,256 per person",2 hours
